Phenotype Term Name	Phenotype Term ID	Disease Name	Disease ID	Chemical Inference Network	Gene Inference Network	References
lipid droplet formation	GO:0140042	COVID-19	MESH:D000086382	Azithromycin|Chloroquine|Choline|Melatonin|perfluorobutyric acid|Sirolimus|Zinc Sulfate		23
cell cycle	GO:0007049	COVID-19	MESH:D000086382	Chloroquine|Dactinomycin|Melatonin|Nifedipine|Ritonavir|Sirolimus|Toremifene		55
protein oxidation	GO:0018158	COVID-19	MESH:D000086382	Choline|Dactinomycin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate		17
spermatogenesis	GO:0007283	COVID-19	MESH:D000086382	Choline|Emodin|Melatonin|Sirolimus|Tenofovir|Zinc	BSG|LZTFL1	16
vasoconstriction	GO:0042310	COVID-19	MESH:D000086382	Acetazolamide|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus	AGT|CRP	69
positive regulation of apoptotic DNA fragmentation	GO:1902512	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Emodin|Zinc	IL6	21
positive regulation of mitochondrial membrane potential	GO:0010918	COVID-19	MESH:D000086382	betulinic acid|Dactinomycin|Emodin|Melatonin|Sirolimus|Zinc		11
viral process	GO:0016032	COVID-19	MESH:D000086382	4-(4-guanidinobenzoyloxy)phenylacetic acid|camostat|cannabidiolic acid|cannabigerolic acid|favipiravir|nafamostat		5
lipid oxidation	GO:0034440	COVID-19	MESH:D000086382	Choline|Melatonin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate		23
glutathione transferase activity	GO:0004364	COVID-19	MESH:D000086382	betulinic acid|Ivermectin|Melatonin|Tenofovir|Zinc|Zinc Sulfate		16
autophagy	GO:0006914	COVID-19	MESH:D000086382	Azithromycin|Chloroquine|chloroquine diphosphate|Hydroxychloroquine|Melatonin|Sirolimus		80
positive regulation of cytosolic calcium ion concentration	GO:0007204	COVID-19	MESH:D000086382	Choline|Emodin|Ivermectin|Nifedipine|Zinc	AGT|CCL3|IL1B|IL2	17
cellular calcium ion homeostasis	GO:0006874	COVID-19	MESH:D000086382	chloroquine diphosphate|Choline|Melatonin|Nifedipine|Zinc	CCL2|CCL3|CCR2	19
leukocyte migration involved in inflammatory response	GO:0002523	COVID-19	MESH:D000086382	betulinic acid|Choline|Emodin|Melatonin|Zinc	CCL2|SELE|TNF	14
positive regulation of cytokine production involved in inflammatory response	GO:1900017	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Chloroquine|Emodin|Hydroxychloroquine|Zinc	IL6|TNF	22
cell differentiation	GO:0030154	COVID-19	MESH:D000086382	cepharanthine|Chloroquine|Dactinomycin|Melatonin|Sirolimus	BSG|UGCG	23
positive regulation of superoxide dismutase activity	GO:1901671	COVID-19	MESH:D000086382	Choline|Melatonin|Sirolimus|Zinc|Zinc Sulfate	TNF	15
positive regulation of protein import into nucleus	GO:0042307	COVID-19	MESH:D000086382	Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Sirolimus	IL6	18
negative regulation of cell migration	GO:0030336	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Hydroxychloroquine|Ivermectin|selamectin		16
glomerular filtration	GO:0003094	COVID-19	MESH:D000086382	Acetazolamide|Chloroquine|Losartan|Nifedipine|Tenofovir		23
ATP metabolic process	GO:0046034	COVID-19	MESH:D000086382	cannabidiolic acid|Chloroquine|Melatonin|Sirolimus|Zinc		14
alkaline phosphatase activity	GO:0004035	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine|Sirolimus|Zinc|Zinc Sulfate		18
cholesterol biosynthetic process	GO:0006695	COVID-19	MESH:D000086382	Chloroquine|Choline|Ritonavir|Sirolimus|Zinc		19
release of cytochrome c from mitochondria	GO:0001836	COVID-19	MESH:D000086382	Chloroquine|Emodin|Hydroxychloroquine|Melatonin|Zinc Sulfate		18
response to antineoplastic agent	GO:0097327	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Ivermectin|selamectin|Sirolimus		15
triglyceride biosynthetic process	GO:0019432	COVID-19	MESH:D000086382	Chloroquine|Choline|Ivermectin|Ritonavir|Sirolimus		22
negative regulation of superoxide dismutase activity	GO:1901670	COVID-19	MESH:D000086382	Choline|Emodin|Melatonin|Tenofovir|Zinc		11
cholesterol metabolic process	GO:0008203	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Melatonin|perfluorobutyric acid|Sirolimus		13
phosphatidylserine exposure on apoptotic cell surface	GO:0070782	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Dactinomycin|Hydroxychloroquine	PLSCR1	16
protein lipidation	GO:0006497	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Sirolimus|Zinc	UGCG	40
cell chemotaxis	GO:0060326	COVID-19	MESH:D000086382	Chloroquine|Melatonin|Nifedipine|Teicoplanin	CCL2	14
autophagosome assembly	GO:0000045	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Sirolimus|Zinc Sulfate		27
activation of protein kinase B activity	GO:0032148	COVID-19	MESH:D000086382	Choline|Ivermectin|Melatonin|Sirolimus		13
negative regulation of viral release from host cell	GO:1902187	COVID-19	MESH:D000086382	(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Chloroquine|Hydroxychloroquine|Ivermectin		15
cellular senescence	GO:0090398	COVID-19	MESH:D000086382	Chloroquine|lopinavir-ritonavir drug combination|Nifedipine|Ritonavir		18
positive regulation of tumor necrosis factor secretion	GO:1904469	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine|Ribavirin|Zinc		20
adipose tissue development	GO:0060612	COVID-19	MESH:D000086382	Lopinavir|Melatonin|Ritonavir|Sirolimus		12
positive regulation of release of cytochrome c from mitochondria	GO:0090200	COVID-19	MESH:D000086382	Choline|Dactinomycin|Emodin|Melatonin		8
drug metabolic process	GO:0017144	COVID-19	MESH:D000086382	Emodin|Nifedipine|Ritonavir|Zinc		12
detection of oxidative stress	GO:0070994	COVID-19	MESH:D000086382	Nifedipine|Ritonavir|Tenofovir|Zinc		12
regulation of organ growth	GO:0046620	COVID-19	MESH:D000086382	Choline|Losartan|Melatonin|Nifedipine		19
negative regulation of glutathione peroxidase activity	GO:1903283	COVID-19	MESH:D000086382	Emodin|Tenofovir|Zinc|Zinc Sulfate		8
lactate dehydrogenase activity	GO:0004457	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Tenofovir|Zinc		19
lipid biosynthetic process	GO:0008610	COVID-19	MESH:D000086382	Choline|Sirolimus|Zinc|Zinc Sulfate		11
renal sodium excretion	GO:0035812	COVID-19	MESH:D000086382	Acetazolamide|Chloroquine|Losartan|Nifedipine		21
triglyceride metabolic process	GO:0006641	COVID-19	MESH:D000086382	Chloroquine|Choline|Melatonin|Sirolimus		13
positive regulation of urine volume	GO:0035810	COVID-19	MESH:D000086382	Acetazolamide|Chloroquine|Losartan|Nifedipine		15
mitotic S phase	GO:0000084	COVID-19	MESH:D000086382	betulinic acid|cepharanthine|Ribavirin|Sirolimus		13
L-aspartate:2-oxoglutarate aminotransferase activity	GO:0004069	COVID-19	MESH:D000086382	chloroquine diphosphate|Choline|Melatonin|Sirolimus		13
nitric oxide biosynthetic process	GO:0006809	COVID-19	MESH:D000086382	Chloroquine|Choline|Losartan|Melatonin		14
positive regulation of nitric oxide biosynthetic process	GO:0045429	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Melatonin|Tenofovir	AGT|CRP|IL1B|IL6|TNF	13
calcium-mediated signaling	GO:0019722	COVID-19	MESH:D000086382	Melatonin|Nifedipine|Sirolimus	BTK|CCL3|CXCL8|SELE|TNF	13
positive regulation of NF-kappaB transcription factor activity	GO:0051092	COVID-19	MESH:D000086382	Chloroquine|Emodin|Hydroxychloroquine	AGT|BTK|IL1B|TNF	17
positive regulation of cell migration	GO:0030335	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Ivermectin	CCL3|CXCL10|IL1B	13
positive regulation of NIK/NF-kappaB signaling	GO:1901224	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Melatonin|Sirolimus	IL1B|TNF	8
vasodilation	GO:0042311	COVID-19	MESH:D000086382	Acetazolamide|Losartan|Nifedipine	AGT|TNF	50
leukocyte chemotaxis	GO:0030595	COVID-19	MESH:D000086382	Azithromycin|Losartan|Teicoplanin	CCL3|IL10	8
leukocyte tethering or rolling	GO:0050901	COVID-19	MESH:D000086382	Heparin, Low-Molecular-Weight|Losartan|Melatonin	SELE|TNF	9
ATPase activity	GO:0016887	COVID-19	MESH:D000086382	Chloroquine|Losartan|Sirolimus	ATP11A	10
cell redox homeostasis	GO:0045454	COVID-19	MESH:D000086382	Choline|Emodin|Zinc	IL6	11
glucose homeostasis	GO:0042593	COVID-19	MESH:D000086382	Choline|Melatonin|Zinc	IL6	14
osteoblast differentiation	GO:0001649	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine|Sirolimus	CCL3	13
cellular zinc ion homeostasis	GO:0006882	COVID-19	MESH:D000086382	Mefloquine|Zinc|Zinc Sulfate		12
positive regulation of autophagosome assembly	GO:2000786	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Sirolimus		21
glutathione derivative biosynthetic process	GO:1901687	COVID-19	MESH:D000086382	Choline|Emodin|Zinc Sulfate		6
eating behavior	GO:0042755	COVID-19	MESH:D000086382	4-(4-guanidinobenzoyloxy)phenylacetic acid|camostat|Choline		5
superoxide anion generation	GO:0042554	COVID-19	MESH:D000086382	Chloroquine|Losartan|Melatonin		12
negative regulation of DNA biosynthetic process	GO:2000279	COVID-19	MESH:D000086382	Lopinavir|Ribavirin|Ritonavir		11
mitochondrial electron transport, cytochrome c to oxygen	GO:0006123	COVID-19	MESH:D000086382	Choline|Ivermectin|Tenofovir		7
plasma membrane organization	GO:0007009	COVID-19	MESH:D000086382	Chloroquine|Mefloquine|Sirolimus		9
autophagosome-lysosome fusion	GO:0061909	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Sirolimus		16
necrotic cell death	GO:0070265	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Zinc Sulfate		11
negative regulation of viral process	GO:0048525	COVID-19	MESH:D000086382	favipiravir|Ivermectin|Ribavirin		11
locomotion involved in locomotory behavior	GO:0031987	COVID-19	MESH:D000086382	chloroquine diphosphate|Nifedipine|Zinc		11
triglyceride homeostasis	GO:0070328	COVID-19	MESH:D000086382	Choline|Melatonin|Zinc		12
positive regulation of necrotic cell death	GO:0010940	COVID-19	MESH:D000086382	Choline|Emodin|Zinc		8
apoptotic nuclear changes	GO:0030262	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Melatonin		11
positive regulation of autophagy	GO:0010508	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Sirolimus		24
sperm motility	GO:0097722	COVID-19	MESH:D000086382	Choline|Ivermectin|Melatonin		8
apoptotic chromosome condensation	GO:0030263	COVID-19	MESH:D000086382	Chloroquine|Emodin|Zinc		11
protein lipidation involved in autophagosome assembly	GO:0061739	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine|Sirolimus		22
positive regulation of sequestering of triglyceride	GO:0010890	COVID-19	MESH:D000086382	Chloroquine|Choline|Sirolimus		10
cholesterol homeostasis	GO:0042632	COVID-19	MESH:D000086382	Choline|Melatonin|Zinc		11
calcium ion import	GO:0070509	COVID-19	MESH:D000086382	cannabidiolic acid|cannabigerolic acid|Nifedipine		8
negative regulation of ATP biosynthetic process	GO:2001170	COVID-19	MESH:D000086382	Choline|Ivermectin|Melatonin		8
positive regulation of glutathione peroxidase activity	GO:1903284	COVID-19	MESH:D000086382	Choline|Melatonin|Zinc		12
viral DNA genome replication	GO:0039693	COVID-19	MESH:D000086382	Antiviral Agents|Chloroquine|Sirolimus		10
vacuole organization	GO:0007033	COVID-19	MESH:D000086382	Chloroquine|Sirolimus|Zinc Sulfate		10
cardiac muscle cell contraction	GO:0086003	COVID-19	MESH:D000086382	Chloroquine|Nifedipine|Sirolimus		10
positive regulation of lipid storage	GO:0010884	COVID-19	MESH:D000086382	cannabidiolic acid|cannabigerolic acid|Choline		4
nucleus organization	GO:0006997	COVID-19	MESH:D000086382	Emodin|lopinavir-ritonavir drug combination|Ritonavir		11
collagen biosynthetic process	GO:0032964	COVID-19	MESH:D000086382	Melatonin|Sirolimus|Zinc		7
DNA replication	GO:0006260	COVID-19	MESH:D000086382	camostat|lopinavir-ritonavir drug combination|Ritonavir		12
chemical synaptic transmission	GO:0007268	COVID-19	MESH:D000086382	Acetazolamide|Mefloquine|Nifedipine		5
positive regulation of cellular senescence	GO:2000774	COVID-19	MESH:D000086382	Melatonin|Sirolimus|Tenofovir		6
viral transcription	GO:0019083	COVID-19	MESH:D000086382	5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol|galidesivir|Teicoplanin		5
transmission of virus	GO:0019089	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine|remdesivir		23
negative regulation of flagellated sperm motility	GO:1901318	COVID-19	MESH:D000086382	Emodin|Melatonin|Tenofovir		6
viral translation	GO:0019081	COVID-19	MESH:D000086382	Chloroquine|galidesivir|plitidepsin		9
viral release from host cell	GO:0019076	COVID-19	MESH:D000086382	Chloroquine|favipiravir|galidesivir		11
positive regulation of interferon-gamma production	GO:0032729	COVID-19	MESH:D000086382	2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine	CCR2|IL10|IL1B|IL2|TNF|TYK2	5
cytoplasmic vesicle	GO:0031410	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine	ABO|BTK|HCK|IL1B	16
response to virus	GO:0009615	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate	CXCL10|IFNAR2|IL1B|TNF	15
positive regulation of heterotypic cell-cell adhesion	GO:0034116	COVID-19	MESH:D000086382	Lopinavir|Ritonavir	IL10|IL1B|TNF	8
positive regulation of epithelial to mesenchymal transition	GO:0010718	COVID-19	MESH:D000086382	Emodin|Sirolimus	IL1B|IL6	7
sensory perception of pain	GO:0019233	COVID-19	MESH:D000086382	cannabidiolic acid|Zinc	CCL2|CCR2	7
protein import into nucleus	GO:0006606	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine	AGT	12
activation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0006919	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Chloroquine	TNF	9
early endosome	GO:0005769	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine	ATP11A	11
positive regulation of protein export from nucleus	GO:0046827	COVID-19	MESH:D000086382	Chloroquine|Sirolimus	IL1B	8
lysosome organization	GO:0007040	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate	TMEM106B	14
response to toxic substance	GO:0009636	COVID-19	MESH:D000086382	Chloroquine|Losartan	CCL3	9
glucose metabolic process	GO:0006006	COVID-19	MESH:D000086382	perfluorobutyric acid|Zinc	TNF	7
positive regulation of T-helper 1 cell cytokine production	GO:2000556	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Ribavirin	IL1B	11
positive regulation of cellular extravasation	GO:0002693	COVID-19	MESH:D000086382	Choline|Zinc	CCL2	7
intracellular transport of virus	GO:0075733	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine	CD209	11
cellular response to amyloid-beta	GO:1904646	COVID-19	MESH:D000086382	cannabidiolic acid|Sirolimus	TNF	5
negative regulation of endothelial cell proliferation	GO:0001937	COVID-19	MESH:D000086382	Lopinavir|Ritonavir	TNF	6
negative regulation of autophagy	GO:0010507	COVID-19	MESH:D000086382	Chloroquine|Sirolimus	IL10	12
regulation of heart rate	GO:0002027	COVID-19	MESH:D000086382	Losartan|Nifedipine	AGT	57
positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	GO:2001272	COVID-19	MESH:D000086382	betulinic acid|Melatonin	TNF	6
positive regulation of vasoconstriction	GO:0045907	COVID-19	MESH:D000086382	Losartan|Nifedipine		7
positive regulation of immune response	GO:0050778	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|Chloroquine		8
negative regulation of endothelial cell migration	GO:0010596	COVID-19	MESH:D000086382	Lopinavir|Ritonavir		5
cholesterol efflux	GO:0033344	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate		12
phospholipid biosynthetic process	GO:0008654	COVID-19	MESH:D000086382	Nifedipine|Zinc		5
N-acetylneuraminate metabolic process	GO:0006054	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		4
lactate metabolic process	GO:0006089	COVID-19	MESH:D000086382	Tenofovir|Zinc		5
glycolytic process	GO:0006096	COVID-19	MESH:D000086382	Dactinomycin|Sirolimus		4
fucose metabolic process	GO:0006004	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		4
mitochondrial electron transport, succinate to ubiquinone	GO:0006121	COVID-19	MESH:D000086382	Tenofovir|Zinc		5
electron transport chain	GO:0022900	COVID-19	MESH:D000086382	Melatonin|Nifedipine		5
arginase activity	GO:0004053	COVID-19	MESH:D000086382	Zinc|Zinc Sulfate		4
negative regulation of mitochondrial membrane potential	GO:0010917	COVID-19	MESH:D000086382	Chloroquine|Ivermectin		9
DNA methylation	GO:0006306	COVID-19	MESH:D000086382	Choline|Zinc		4
positive regulation of cholesterol storage	GO:0010886	COVID-19	MESH:D000086382	Choline|Sirolimus		4
vesicle organization	GO:0016050	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		12
carbonate dehydratase activity	GO:0004089	COVID-19	MESH:D000086382	Acetazolamide|Ivermectin		5
regulation of membrane potential	GO:0042391	COVID-19	MESH:D000086382	Melatonin|Nifedipine		7
melanin biosynthetic process	GO:0042438	COVID-19	MESH:D000086382	Emodin|Zinc		5
cellular response to drug	GO:0035690	COVID-19	MESH:D000086382	Chloroquine|Ivermectin		9
establishment of protein localization to plasma membrane	GO:0061951	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
translation	GO:0006412	COVID-19	MESH:D000086382	camostat|chloroquine diphosphate		9
negative regulation of RNA biosynthetic process	GO:1902679	COVID-19	MESH:D000086382	Dactinomycin|Ribavirin		8
carnitine transmembrane transport	GO:1902603	COVID-19	MESH:D000086382	Lopinavir|Ritonavir		5
reactive nitrogen species metabolic process	GO:2001057	COVID-19	MESH:D000086382	Melatonin|Tenofovir		5
lymphocyte activation	GO:0046649	COVID-19	MESH:D000086382	Ribavirin|Sirolimus		12
mitochondrion organization	GO:0007005	COVID-19	MESH:D000086382	Melatonin|Zinc		7
autolysosome	GO:0044754	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		10
positive regulation of ATP biosynthetic process	GO:2001171	COVID-19	MESH:D000086382	Ivermectin|Sirolimus		5
cell migration	GO:0016477	COVID-19	MESH:D000086382	betulinic acid|Sirolimus		5
cellular response to unfolded protein	GO:0034620	COVID-19	MESH:D000086382	Dactinomycin|Sirolimus		3
negative regulation of cellular pH reduction	GO:0032848	COVID-19	MESH:D000086382	Chloroquine|Sirolimus		7
mitochondrial depolarization	GO:0051882	COVID-19	MESH:D000086382	chloroquine diphosphate|Hydroxychloroquine		12
activation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	GO:0097297	COVID-19	MESH:D000086382	betulinic acid|Melatonin		5
creatinine homeostasis	GO:0097273	COVID-19	MESH:D000086382	Chloroquine|Melatonin		9
Golgi organization	GO:0007030	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		10
fatty acid metabolic process	GO:0006631	COVID-19	MESH:D000086382	Choline|Hydroxychloroquine		8
protein ubiquitination	GO:0016567	COVID-19	MESH:D000086382	Dactinomycin|Sirolimus		4
positive regulation of lysosomal membrane permeability	GO:0097214	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		11
positive stranded viral RNA replication	GO:0039690	COVID-19	MESH:D000086382	Hydroxychloroquine|Interferon-alpha		9
regulation of cardiac muscle cell contraction	GO:0086004	COVID-19	MESH:D000086382	Chloroquine|Nifedipine		7
regulation of cytokine secretion involved in immune response	GO:0002739	COVID-19	MESH:D000086382	Chloroquine|Ribavirin		13
membrane organization	GO:0061024	COVID-19	MESH:D000086382	Chloroquine|Choline		8
mitotic G1 phase	GO:0000080	COVID-19	MESH:D000086382	betulinic acid|Chloroquine		8
endolysosome	GO:0036019	COVID-19	MESH:D000086382	Chloroquine|Hydroxychloroquine		10
